,title,description,datetime,category,agency
0,اوکراین میلیاردها دلار به بودجه نظامی خود اضافه کرد,رئیس‌جمهور اوکراین اصلاحیه‌های متعددی را برای بودجه سال ۲۰۲۲ این کشور ارائه کرده است که سقف استقراض داخلی و بدهی ملی دولت را بالاتر می‌برد و بودجه دفاعی را نیز به میزان میلیاردها دلار افزایش می‌دهد.,2022-10-28 17:51:23,اخبار ارزی,تسنیم
1,آیا توییتر یک باتلاق برای ایلان ماسک خواهد بود؟,,2022-10-28 17:31:40,اخبار ارزی,دیجی کالا مگ
2,بیت کوین در چه وضعیتی است؟,پیش بینی قیمت ارزهای دیجیتال غیرممکن است، پیش بینی‌ها به معنای واقعی کلمه هر روز تغییر می‌کنند. اما چندین سایت تحلیلی از فرمول‌هایی بر اساس داده‌های قیمت و حجم برای حدس‌های دقیق و تخصصی خود استفاده می‌کنند. این مقاله به بررسی تخصصی بیت‌کوین در یکی از این پلتفرم‌ها می‌پردازد.,2022-10-28 16:16:35,اخبار ارزی,اقتصاد آنلاین
3,اپل به رابطه خود با چین پایان داد,رشد شتابی کارخانه‌ها در جنوب هند فصل جدیدی را برای بزرگ‌ترین شرکت فناوری جهان یعنی اپل رقم می‌زند و این شرکت قصد دارد تا تولید محصولات خود را به این کشور انتقال دهد. ویروس کرونا، هزینه‌ها و جغرافیای سیاسی چین از عواملی است که باعث شده تا سازندگان اپل، تولید و فروش گجت‌های خود به سمت هند ببرند.,2022-10-28 13:16:20,اخبار ارزی,اقتصاد آنلاین
4,معامله ۲۰ میلیون دلار در سامانه نیما,بنابرگزارش بانک مرکزی، مجموع معاملات انجام شده در سامانه نیما در روز پنج شنبه تا ساعت ۱۷ معادل ۲۰ میلیون دلار بوده است.,2022-10-28 13:06:09,اخبار ارزی,مهر
5,آمار وحشتناک کشته‌ها در ایران بر اثر آلودگی هوا | خسارت ناشی از آلودگی هوا بیش از ۱۱ میلیارد دلار! | چرا وضع هوا در کشورمان به این مرحله رسید؟,سرپرست مرکز ملی هوا و تغییر اقلیم سازمان محیط زیست می‌گوید: ما نه تنها در کانون‌های خارجی، بلکه در مدیریت کانون‌های داخلی تولید ریزگرد هم موفق نبوده ایم. باید بپذیریم در خصوص مقابله با بیابان‌زایی و جلوگیری از تخریب سرزمین خیلی تلاش نکردیم.,2022-10-28 13:06:03,اخبار ارزی,همشهری آنلاین
6,خط فقر ۱۸ میلیون تومانی واقعیت دارد؟ / شاخص‌های سنجش فقر,طی هفته‌های گذشته اعلام شد، خط فقر به ۱۸ میلیون رسیده است. اگر این جمله درست باشد می‌توان گفت اکثر خانوار‌های ایرانی درآمدی پایین‌تر از خط فقر دارند. به همین دلیل ضروری است با بررسی شاخص‌های سنجش فقر، این ادعا را بسنجیم.,2022-10-28 12:46:17,اخبار ارزی,خبرگزاری دانشجو
7,دلار دوباره قدرت گرفت,قیمت دلار دیروز در بازار تهران کانال عوض کرد و به بالای رقم ۳۳ هزار تومان رفت.,2022-10-28 12:16:32,اخبار ارزی,سایت طلا
8,کمک نظامی جدید آمریکا به اوکراین,اقتصادنیوز: دولت جو بایدن با کمک نظامی جدید به اوکراین به ارزش ۲۷۵ میلیون دلار موافقت کرده است.,2022-10-28 11:51:16,اخبار ارزی,اقتصاد نیوز
9,جدیدترین نرخ برابری ارز‌های رایج دنیا امروز ۶ آبان ۱۴۰۱,در گزارش زیر می‌توانید جدیدترین نرخ برابری ارز‌های رایج دنیا در بازار جهانی مبادلات ارزی را مشاهده نمایید.,2022-10-28 11:31:40,اخبار ارزی,نبض بازار
