,title,description,datetime,category,agency
0,وضعیت یک هفته اخیر بازار سکه و طلای داخلی/ پیش بینی قیمت طلا و سکه در هفته پیش رو,کارشناس بازار سکه و طلا گفت: در هفته آینده قیمت سکه و طلا بیشتر تحت تاثیر نرخ ارز خواهد بود، بنابراین هرگونه تحولات در بازار ارز می‌تواند تاثیرگذار بر قیمت سکه و طلا باشد.,2022-10-28 18:11:36,اخبار طلا و سکه,نبض بازار
1,دلایل افزایش قیمت سکه و طلا در هفته‌ای که گذشت,یک کارشناس بازار سکه و طلا ضمن اشاره به روند صعودی قیمت سکه و طلا در بازار یک هفته اخیر، علت این موضوع را افزایش قیمت اونس طلا در بازار‌های جهانی که پیش‌بینی نیز نمی‌شد دانست و عنوان کرد: البته این را هم باید گفت که افزایش تقاضا در بازار داخل، اثر بهبود منابع ارزی کشور در قیمت‌ها را هم خنثی کرده است.,2022-10-28 16:12:25,اخبار طلا و سکه,خبرگزاری آفتاب
2,طلا باز هم به حرکت ادامه داد,قیمت هر اونس طلا امروز با ۰.۰۷ درصد افزایش به ۱۶۶۴ دلار و ۵۴ سنت رسید.,2022-10-28 15:11:42,اخبار طلا و سکه,اقتصاد آنلاین
3,طلای جهانی آماده پرواز شد,قیمت طلا امروز(جمعه) افزایش یافت، در حالی که سرمایه‌گذاران منتظر نشست سیاست‌گذاری فدرال رزرو آمریکا برای نشانه‌هایی از کاهش احتمالی سیاست‌های پولی انقباضی آن بودند.,2022-10-28 11:31:34,اخبار طلا و سکه,اقتصاد 24
4,هفته برای سکه و طلا افزایشی تمام شد + فیلم,بذرافشان گفت: قیمت طلا و سکه اکنون به ثبات خوبی رسیده و مردم به راحتی می توانند مبادلات خود را انجام دهند.,2022-10-28 11:31:28,اخبار طلا و سکه,سایت طلا
5,دلیلی برای افزایش قیمت طلا وجود ندارد,تحلیلگران معتقدند: کاهش ارزش دلار و بازدهی پایین‌تر مطمئناً به طلا کمک کرده است تا از پایین‌ترین سطح خود خارج شود اما این دلیلی برای افزایش بیش از حد طلا نیست.,2022-10-28 10:46:18,اخبار طلا و سکه,سایت طلا
6,طلا می‌تواند جایگاه از دست رفته را بازگرداند؟,قیمت طلا امروز جمعه افزایش یافت، در حالی که سرمایه گذران منتظر اعلام بهره فدرال رزرو هستند که این عامل موجب می‌شود که طلا در سال ۲۰۲۳ وضعیت بهتری خواهد داشت.,2022-10-28 10:46:16,اخبار طلا و سکه,نبض بازار
7,نوسان قیمت حباب سکه امامی/ حباب در بازار سکه امروز ۶ مهر ۱۴۰۱,در جدول زیر وضعیت حباب انواع سکه (امامی، بهار آزادی، نیم‌سکه، ربع‌سکه و سکه گرمی) در معاملات امروز بازار سکه گردآوری شده است.,2022-10-28 09:51:28,اخبار طلا و سکه,نبض بازار
8,وضعیت قیمت سکه پارسیان در معاملات امروز ۶ آبان ۱۴۰۱ + جدول,بروزترین قیمت سکه پارسیان در انواع سوت با عیار ۷۵۰ را در جدول زیر می‌توانید ملاحظه کنید.,2022-10-28 09:46:08,اخبار طلا و سکه,نبض بازار
9,۳ دلیل برای خریدن آیپد ۱۰ (و ۲ دلیل برای نخریدن),,2022-10-27 22:46:08,اخبار طلا و سکه,دیجی کالا مگ
10,کشف 6 سلاح جنگی وینچستر در زاهدان,ماموران انتظامی زاهدان با  اشراف اطلاعاتی در عملیاتی موفقیت آمیز در ساعت ۱۱و ۳۰ دقیقه ظهر امروز در ورودی شهر زاهدان موفق به توقیف یک دستگاه خودروی پژو ۴۰۵ نقره‌ای شده که در بازرسی از این خودرو  تعداد ۶ قبضه سلاح جنگی وینچستر کشف و ضبط شد.,2022-10-27 20:26:56,اخبار طلا و سکه,عصر ایران
11,گزارش بازار‌ها امروز ۵ آبان ۱۴۰۱ | قیمت طلا و سکه افزایش یافت,به صورت روزانه نبض بورس وضعیت بازار‌های موازی بورس (بیت کوین، سکه، طلا و دلار) را بررسی خواهد کرد و ضمن مرور روند هفتگی این بازار‌ها به بررسی گزارش وضعیت قیمت و اخبار مهم بازار در همان روز خواهد پرداخت. بازار‌ها در روز جاری ۵ آبان ۱۴۰۱ چگونه بود؟,2022-10-27 20:02:02,اخبار طلا و سکه,نبض بورس
12,آیا نقره همدان سیاه می شود؟,نقره دارای بالاترين خاصيت رسانايي الكتريسته و حرارتي در مقايسه با فلزات دیگر است. اين فلز به شكل خالص و طبيعي، به صورت آلياژ در تركيب با طلا (الكتروم) و ديگر فلزات يا مواد معدني دارد.,2022-10-27 19:32:34,اخبار طلا و سکه,تابناک
13,قیمت سکه امامی امروز 5 آبان 1401/ سکه 15 میلیون تومان شد,اقتصادنیوز:قیمت سکه در بازار امروز مسیر رشد را تجربه کرد.,2022-10-27 17:01:38,اخبار طلا و سکه,اقتصاد نیوز
14,افزایش قیمت ها در بازار طلا و سکه | جدول قیمت طلا و سکه ؛ ۵ آبان ۱۴۰۱,قیمت هر قطعه سکه تمام‌ بهار آزادی طرح جدید (امامی) به ۱۵ میلیون و ۱۰۷هزار تومان رسید.,2022-10-27 16:26:12,اخبار طلا و سکه,همشهری آنلاین
15,سود سرمایه‌گذاران از الاکلنگ طلا و دلار,اقتصادنیوز: اونس طلا امروز تا حدودی توانست به سطح مقاومتی ۱۶۸۰ دلار نزدیک شود اما هم اکنون پایین‌تر از آن در نوسان است.,2022-10-27 16:16:33,اخبار طلا و سکه,اقتصاد نیوز
16,قیمت جهانی طلا امروز ۵ آبان ۱۴۰۱ / اونس کاهش یافت,قیمت هر اونس طلا امروز پنجشنبه ۵ آبان به ۱۶۶۳ دلار و ۷۰ سنت رسید.,2022-10-27 14:31:37,اخبار طلا و سکه,نبض بازار
17,قیمت درهم ، دلار و سکه امروز 5 آبان 140/ قیمت ها بالا رفت,اقتصادنیوز: در بازار امروز قیمت درهم بالا رفت.,2022-10-27 12:41:25,اخبار طلا و سکه,اقتصاد نیوز
18,هشدار به خریداران سکه؛ از طلافروشی‌ها سکه نخرید,رئیس اتحادیه طلا و جواهر با بیان اینکه خرید سکه از طلافروشی‌ها ممنوع است، گفت: سکه را از واحدهای صنفی دارای پروانه کسب و تخصصی سکه‌فروشی خریداری کنید.,2022-10-27 12:06:23,اخبار طلا و سکه,سایت طلا
19,قیمت طلا افزایش می‌یابد؟,قیمت طلا در حالی در روز گذشته روند صعودی داشت که رد پای افزایش قیمت انس جهانی و گرانی دلار در آن مشهود است.,2022-10-27 12:01:57,اخبار طلا و سکه,اقتصاد 24
20,کاهش تقاضا، نفت را پائین کشید,با بروز نگرانی‌ها درباره‌ی کاهش تقاضا در چین، نفت امروز با کاهش روبرو شد؛ کاهش قیمت نفت باعث می‌شود نفت خام دلاری نیز مقرون به صرفه‌تر باشد.,2022-10-27 11:34:16,اخبار طلا و سکه,اخبار ویژه
21,کاهش دوباره قیمت طلای جهانی,انس طلا معاملات امروز را با ریزش آغاز کرده است و 6 دلار کاهش یافت.,2022-10-27 11:01:49,اخبار طلا و سکه,سایت طلا
22,توقف بالابر طلا در میانه‌ی راه,در حالی که دلار آمریکا در بازارها به دلیل فروش بالا، رو به بهبودی است، طلا امروز روند صعودی خود را متوقف کرد. اکنون سطح 1669 دلار برای طلا قابل لمس است.,2022-10-27 10:54:46,اخبار طلا و سکه,اخبار ویژه
23,عقب نشینی طلای جهانی/ انس طلا به ۱۶۶۳ دلار رسید,انس طلا معاملات امروز را با ریزش آغاز کرده است.,2022-10-27 10:16:14,اخبار طلا و سکه,مهر
24,شوک شبانه آمریکا به بازار دلار,برخی از سکه بازان با اشاره به تحریم های جدید و یکه تازی دلار در بازار شبانه می گفتند این امر ممکن است بر روی نوسانات فلز گران بها داخلی اثر بگذارد و قیمت سکه به سمت بالا حرکت کند.,2022-10-27 10:11:28,اخبار طلا و سکه,سایت طلا
25,قیمت طلای جهانی بالا رفت,قیمت طلا امروز (پنجشنبه) افزایش یافت زیرا بازدهی دلار و خزانه داری آمریکا به دلیل انتظارات فزاینده در مورد انقباض سیاست‌های پولی آهسته‌تر توسط فدرال رزرو در اواخر سال کاهش یافت.,2022-10-27 10:01:53,اخبار طلا و سکه,اقتصاد آنلاین
26,اثر ترور در شاهچراغ بر بازار دلار/ صعود طلا و توقف سکه,برخی معامله گران می گویند اتفاقاتی همانند ترور در شاهچراغ در کوتاه مدت نوسان ساز است و اگر این نوسان با جابجایی مرزهای فنی همراه شود می تواند آرایش خرید و فروش را تغییر دهد.,2022-10-27 09:51:22,اخبار طلا و سکه,اقتصاد نیوز
27,حباب سکه امامی به ۲ میلیون رسید,وضعیت حباب انواع سکه (امامی، بهار آزادی، نیم‌سکه، ربع‌سکه و سکه گرمی) در معاملات امروز بازار سکه در جدول زیر گردآوری شده است.,2022-10-27 06:16:23,اخبار طلا و سکه,نبض بازار
28,پیش بینی قیمت طلا و سکه فردا ۵ آبان ۱۴۰۱,"امروز هر گرم طلا ۱۸ عیار مانند روز قبل رشد قیمت را تجربه کرد. هر گرم طلا ۱۸ عیار که روز قبل تا ۱,۳۴۳,۴۰۰ تومان رسیده بود، امروز چهارشنبه ۰۴ آبان ۱۴۰۱ با رشد ۰.۹۵ درصدی به ۱,۳۵۶,۳۰۰ تومان رسید.",2022-10-26 19:26:35,اخبار طلا و سکه,نبض بازار
29,گزارش بازار‌ها امروز ۴ مهر ۱۴۰۱ | کاهش تقاضا برای خرید طلا و سکه,به صورت روزانه نبض بورس وضعیت بازار‌های موازی بورس (بیت کوین، سکه، طلا و دلار) را بررسی خواهد کرد و ضمن مرور روند هفتگی این بازار‌ها به بررسی گزارش وضعیت قیمت و اخبار مهم بازار در همان روز خواهد پرداخت. بازار‌ها در روز جاری ۴ مهر ۱۴۰۱ چگونه بود؟,2022-10-26 19:11:32,اخبار طلا و سکه,نبض بورس
30,واردات ست نقره انگشتر به ایران افزایش یافت,به دلیل ارزشمند بودن نقره، اشیای قیمتی از این جنس ساخته می‌ شدند. بیشترین استفاده از اشیا یافت شده به صورت نقره در بین النهرین بوده که شامل ظروف قیمتی و جواهرات می‌ شد و بدین گونه مورد استفاده قرار می ‌گرفت.,2022-10-26 16:31:39,اخبار طلا و سکه,تابناک
31,9 موردی کوچک که شما را دوست داشتنی تر می کند,ما در سایت طلا، نشانه های کوچکی که شما را دوست داشتنی تر میکند برای شما تهیه کردیم.,2022-10-26 15:31:42,اخبار طلا و سکه,سایت طلا
32,قیمت طلا و انواع آبشده در معاملات امروز ۴ آبان ۱۴۰۱/ افزایش قیمت طلای ۲۴ عیار,قیمت هر گرم طلای ۲۴ عیار با افزایش ۰.۷۸ درصدی، به عدد ۱۸،۱۱۸،۰۰۰ ریال در بازار طلا دست پیدا کرد.,2022-10-26 15:16:26,اخبار طلا و سکه,نبض بازار
33,آخرین قیمت سکه و طلا؛ سکه امامی ۱۴۹۰۰۰۰۰ تومان,قیمت سکه و طلا نسبت به دیروز با افزایش قیمت مواجه شده است.,2022-10-26 14:41:39,اخبار طلا و سکه,مهر
34,قیمت جهانی طلا امروز ۴ آبان ۱۴۰۱ / اونس در محدوده ۱۶۵۰ دلار باقی ماند,قیمت هر اونس طلا امروز چهارشنبه به ۱۶۵۶ دلار و ۶۳ سنت رسید.,2022-10-26 14:41:36,اخبار طلا و سکه,نبض بازار
35,اونس جهانی طلا و سکه را گران کرد,بذرافشان گفت: قیمت طلا و سکه در معاملات امروز به دلیل افزایش اونس جهانی گران شد.,2022-10-26 14:31:45,اخبار طلا و سکه,سایت طلا
36,منطقه خاکستری در بازار دلار ایران / طلا یکه تازی کرد,اقتصادنیوز: در چند وقت گذشته سفته بازان توان شکست بازار ساز و رسیدن به مرز 33 هزر و 300 تومان را نداشته اند و از سوی دیگر معامله گران حاضر به عقب نشینی از مرز 32 هزار و 600 تومان نبوده اند به همین دلیل برخی از معامله گران از محدوده نوسانی دلار به عنوان منطقه خاکستری یاد می کنند.,2022-10-26 14:16:29,اخبار طلا و سکه,اقتصاد نیوز
37,کیفیت نقره زنجان در ایران معروف است,نقره، فلزی که تاریخچه کهن دارد از گذشته های دور در سطح زمین استخراج می گردید، بسیار مورد علاقه بشر بود و از آن برای ساخت زیورالات تزئینی و ظروف های مختلف استفاده می شد، با گذشته تاریخ محبوبیت این فلز به حدی رسید که عیار بندی گشت و در امور مالی دنیا جز موثر ترین بخش ها مبادلاتی قرار گرفت.,2022-10-26 13:41:24,اخبار طلا و سکه,تابناک
38,قیمت سکه و طلا امروز چهارشنبه ۱۴۰۱/۸/۴,امروز در بازار آزاد تا این لحظه قیمت طلای ۱۸عیار هر گرم یک‌میلیون و ۳۵۰ هزار تومان و قیمت سکه تمام‌بهار آزادی طرح جدید ۱۵میلیون تومان است.,2022-10-26 13:11:34,اخبار طلا و سکه,خبرگزاری دانشجو
39,جدیدترین قیمت طلای ۱۸ عیار امروز ۴ آبان ۱۴۰۱,در گزارش زیر قیمت انواع سکه (امامی، بهار آزادی، نیم سکه و ربع سکه) در معاملات روز جاری بازار سکه را می‌توانید مشاهده نمایید.,2022-10-26 13:02:07,اخبار طلا و سکه,نبض بازار
40,قیمت انواع سکه در معاملات امروز ۴ آبان بازار تهران/ افزایش نرخ سکه امامی,قیمت هر قطعه سکه امامی با ۰.۴۶ درصد افزایش نسبت به روز گذشته، به عدد ۱۴۹،۹۳۰،۰۰۰ ریال در بازار تهران دست پیدا کرد.,2022-10-26 13:02:01,اخبار طلا و سکه,نبض بازار
41,طلای سیاه ریخت!,با انتشار گزارش‌ها مبنی بر افزایش بیش از حد انتظار ذخایر نفت خام آمریکا، قیمت نفت امروز کاهش یافت.,2022-10-26 12:59:21,اخبار طلا و سکه,اخبار ویژه
42,قیمت گرم طلا 18 عیار امروز 4 آبان 1401/ قیمت طلا دوباره بالا رفت,اقتصادنیوز: قیمت طلا 18 عیار امروز مسیر رشد را تجربه کرد.,2022-10-26 11:51:34,اخبار طلا و سکه,اقتصاد نیوز
43,دوراهی در بازار ارز/ هوشمندی بازار سکه,تغییر اندک قیمت دلار نشان می دهد که لنگر قیمتی دلار در بالای نیمه کانال ۳۲ هزار تومانی به قدری سنگین است که به راحتی اجازه عبور نخواهد داد.,2022-10-26 11:16:17,اخبار طلا و سکه,نبض بازار
44,آیا طلا نقطه‌ی عطف بازار می‌ماند؟,از آنجا که سرمایه‌گذاران در انتظار انتشار داده‌های تولید ناخالص آمریکا هستند و طلا همچنان عنصر اصلی بازار است، فلز زرد امروز در سطح 1657.50 افزایش یافت.,2022-10-26 10:14:05,اخبار طلا و سکه,اخبار ویژه
45,کاهش جذابیت طلا برای خریداران خارجی,شاخص دلار ۰.۱ درصد افزایش یافت و جذابیت طلا را برای خریداران خارجی کاهش داد.,2022-10-26 10:11:21,اخبار طلا و سکه,نبض بازار
46,کاهش ارزش دلار صعود طلا را رقم زد,متخصصین بازار طلا عقیده دارند ادامه ضعف طلا تا کمتر از 1655 دلار می‌تواند زمینه سقوط آن تا 1615 و 1600 دلار را فراهم کند، اما افزایش آن تا بیش‌از 1655 دلار راه را برای رسیدن به 1670 و 1680 دلار باز خواهد کرد.,2022-10-26 10:11:14,اخبار طلا و سکه,سایت طلا
47,طلای جهانی در خط ممتد,قیمت طلا امروز(چهارشنبه ۲۶ اکتبر) در برابر دلار ثابت ماند، اگر چه قیمت طلا در بازه محدودی قرار گرفته بود و سرمایه‌گذاران منتظر گزارش بیشتر در مورد سیاست سختگیرانه فدرال رزرو آمریکا بودند.,2022-10-26 09:46:10,اخبار طلا و سکه,اخبار بانک
