,Temperature,Dew Point,Humidity,Wind Speed,Pressure,Precipitation,date
0,68.3,56.7,67.6,8.4,30.3,0.0,2021-06-01
1,71.7,58.3,63.7,9.3,30.2,0.0,2021-06-02
2,72.2,65.9,81.0,10.1,30.0,0.07,2021-06-03
3,73.8,66.2,79.0,7.6,29.9,0.03,2021-06-04
4,79.9,64.5,62.5,7.6,30.0,0.05,2021-06-05
5,81.4,67.6,64.4,8.0,30.0,0.0,2021-06-06
6,82.5,71.7,70.2,9.8,30.1,0.0,2021-06-07
7,82.7,71.9,70.0,8.5,30.0,0.0,2021-06-08
8,81.8,69.3,66.5,6.5,30.0,0.01,2021-06-09
9,70.9,63.6,71.0,7.7,27.4,0.0,2021-06-10
10,67.6,64.8,88.5,11.7,29.2,1.27,2021-06-11
11,70.2,60.9,73.7,8.2,29.8,1.52,2021-06-12
12,74.3,64.2,71.0,8.3,29.9,0.0,2021-06-13
13,76.3,64.6,68.1,11.4,29.8,0.0,2021-06-14
14,72.2,60.5,69.8,10.5,29.8,1.83,2021-06-15
15,73.2,48.0,42.5,11.4,29.9,0.0,2021-06-16
16,71.5,42.7,36.5,7.7,30.0,0.0,2021-06-17
17,74.0,54.8,52.1,9.0,30.0,0.0,2021-06-18
18,79.5,64.4,60.4,7.3,29.8,0.0,2021-06-19
19,80.3,70.4,72.7,9.1,29.8,0.17,2021-06-20
20,79.9,71.1,74.9,9.3,29.7,0.0,2021-06-21
21,69.7,62.8,79.6,8.4,29.8,0.05,2021-06-22
22,67.6,46.7,49.3,6.1,30.2,0.34,2021-06-23
23,70.9,51.7,51.9,5.0,30.3,0.0,2021-06-24
24,72.2,59.1,64.3,6.6,30.3,0.0,2021-06-25
25,77.0,69.9,79.3,9.9,30.2,0.14,2021-06-26
26,80.7,71.1,73.2,12.0,30.2,0.0,2021-06-27
27,83.2,71.7,69.0,10.8,30.2,0.0,2021-06-28
28,84.1,72.1,68.3,10.3,30.2,0.0,2021-06-29
29,84.1,69.5,62.6,8.8,30.0,0.0,2021-06-30
